Compound,po2,po2,po2,bel,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,pil,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil
log2_hrs,4.79,4.79,4.79,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45
2-methyl-furan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethyl acetate,0,0,0,0,0.0049,0,2.5306,1.9604,0.9884,0,0,0,0,0,0,0,0,0,2.3794,2.3224,2.2465,1.2085,1.3695,1.2308,0,0,0.0008,2.3069,2.266,2.4438,0,0,0,6.7127,5.996,5.4782,5.1196,5.0701,7.679,2.744,3.6457,2.2996,5.6511,6.0344,5.5278,3.9119,4.665,0.8736,3.6675,9.579,8.1721,7.623,6.8267,7.2662,7.0178,9.4085,10.8611,8.4444,8.628,5.0048,5.0028,14.6373,14.0405,8.5678,6.1431,5.7849,7.5221,6.5654,6.3613,11.1766,12.2222,10.4856,6.6086,6.5085,7.082,15.9032,13.9614,19.6855,8.132,5.8438,5.7668,7.5685,6.0922,6.9741,8.4369,13.5333,11.3263,9.0087,10.2128,9.7143,15.5421,20.6568,7.4904,5.4278,5.914,8.2839,6.3992,4.1086,10.5025,9.9181,10.2769,10.294,10.559,10.4344,17.8806,18.9585,5.3789,6.2793,5.435,8.6287,6.572,6.479,9.404,8.6121,9.6473,8.8927,9.7891,8.5952
2 -methyl-1-propanol ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462,0.0018,0.0035,0,0.0091,0,0,0,0.0301,0.0193,0.0255,0,0,0,0.0862,0.0873,0.0738,0.038,0.0312,0.0468,0.0174,0.0148,0,0.014,0.0085,0.0396,0,0,0,0.0202,0.1404,0.0439,0.0373,0.0179,0.0516,0.0496,0.0541,0.0887,0.0836,0.064,0.0229,0.0225,0.1927,0.1362,0.0058,0.0673,0.0445,0.0223,0.0684,0.0152,0.071,0.0673,0.0475,0.0683,0.0711,0.0197,0.0715,0.145,0.2104,0.0546,0.0314,0.0628,0.0478,0.0711,0.0747,0.0783,0.1037,0.0995,0.1068,0.1073,0.1057,0.2332,0.2252,0.0645,0.0683,0.0693,0.0475,0.0779,0.0018,0.1066,0.0121,0.108,0.1104,0.1045,0.1136,0.1181,0.2844,0.0317,0.0267,0.0655,0.0766,0.0785,0.0806,0.0801,0.1113,0.1009,0.0664,0.0895,0.0974
86.07316494,0.0988,0.0172,0.073,0,0.0576,0.0268,0.1728,0,0.5746,0,0.0057,0.0198,0.0399,0.3133,0.0126,0,0.0024,0.1333,0.1981,0.0393,0.2484,0.1694,0.0857,0.1765,0,0.0012,0.0058,0.0511,0.0901,0.0621,0,0.3177,0.0432,0.0279,0.0414,0.0543,0,0,0,0.091,0.0666,0.0328,0.0125,0.0088,0.0078,0,0,0.0496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benzene,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,0.0385,0,0.0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pentanal,0.0989,0.0125,0.0308,0.0037,0.0192,0.0055,0.0769,0,0.0597,0,0.0011,0.0065,0.0255,0.0821,0.0024,0,0,0.0268,0.0714,0.0147,0.0634,0.0186,0.0669,0.033,0,0,0.0061,0.0371,0.0654,0.0782,0,0.0608,0.0347,0.0276,0.0327,0.0061,0,0,0,0.0086,0.0606,0.0279,0.0372,0.0096,0.0322,0,0,0.0145,0.0042,0,0,0,0,0,0,0,0,0,0,0.0378,0.0038,0.006,0,0.02,0,0.0046,0,0.0378,0,0,0,0.0092,0,0.0073,0,0,0,0.0254,0.0142,0,0,0,0,0,0,0,0,0.0283,0,0,0,0.1125,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166,0,0.0433,0,0,0,0,0,0,0,0
86.07316494,0.099,0.015,0.053,0.0153,0,0.0259,0.2555,0,0.2056,0,0.0121,0.0096,0.0626,0.1191,0.0158,0,0,0.0995,0.0729,0.0451,0.0995,0.0287,0.0935,0.0656,0,0,0.0063,0.0633,0.1056,0.1439,0,0.1059,0.0733,0,0.0575,0.015,0,0,0,0.0191,0.07,0.0462,0.0759,0.0403,0.0486,0,0,0.0206,0.0186,0,0,0,0,0,0,0,0,0,0,0.0453,0.0054,0.0198,0,0.0624,0,0.0075,0.0029,0.0544,0,0,0,0.0164,0,0.0199,0,0,0,0.0326,0.0317,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0.0213,0,0.0017,0,0,0,0,0,0,0.002,0.0026,0,0,0,0,0.0231,0,0.0799,0,0,0,0.007,0,0,0,0.0166
"2,5-dimethyl-furan",,,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.088815,0.1406,0.1126,0.1317,3.576,4.3862,3.9244,2.2628,1.9973,2.3104,0.1531,0.1382,0.1409,0.3281,0.3271,0.3294,0.1178,0.1108,0.0795,14.155,15.2136,14.9753,8.9187,8.8902,8.8371,1.0497,1.0872,1.1167,11.9011,12.6462,14.4888,0.307,0.3381,0.2977,20.804,21.0487,21.3592,19.39,18.2576,16.8542,7.7983,6.6951,6.8785,20.7443,22.8684,19.4787,3.8795,3.4307,4.0127,13.7496,31.3989,18.9623,19.1249,18.7307,18.6001,17.3315,16.8252,28.8381,26.9032,28.032,13.8301,15.1081,37.5012,36.2454,24.9575,22.4694,22.4693,19.0667,20.1517,20.1075,37.8693,36.1983,31.904,26.3685,25.282,24.9673,36.2994,43.6323,41.3533,22.7694,23.8717,22.1854,20.401,21.4679,20.8012,26.4867,31.6226,29.9564,32.8392,31.5504,31.2254,37.3932,41.152,21.6037,21.219,21.7453,21.0035,23.3976,21.6296,30.556,30.2216,30.0786,32.2087,33.8881,34.8811,47.8835,51.198,22.5048,21.6164,22.1762,22.3146,22.2758,23.5795,32.0902,32.4129,33.6443,27.8085,30.4285,31.8672
toluene,0.0052,0.0052,0.0055,0.0008,0.0012,0.0054,0.0064,0.0053,0.0066,0.0009,0.0052,0.0048,0.0072,0.0074,0.0055,0.0062,0.0054,0.006,0.0005,0.0064,0.0064,0.0083,0.0086,0.0086,0.0006,0.006,0.0054,0.0069,0.0067,0.0056,0.0059,0.0059,0.0061,0.0031,0.0034,0.0003,0.0085,0.0079,0.0035,0.0003,0.0045,0.006,0.0063,0.007,0.0069,0.0034,0.003,0.0066,0.0032,0.0003,0.0037,0.004,0.004,0.0004,0.0035,0.0035,0.0043,0.0093,0.0092,0.0032,0.0033,0.0024,0.0074,0.0069,0.0081,0.0079,0.0009,0.0072,0.0077,0.0101,0.0091,0.0088,0.0071,0.007,0.0069,0.0009,0.0081,0.0088,0.0075,0.0076,0.0084,0.0003,0.0066,0.0073,0.011,0.0112,0.0104,0.007,0.0066,0.0071,0.0082,0.0088,0.0083,0.0075,0.0083,0.0009,0.007,0.0065,0.0096,0.0095,0.009,0.0071,0.0064,0.0068,0.0072,0.0076,0.0078,0.0079,0.008,0.0059,0.0063,0.0067,0.0084,0.008,0.0088,0.0069,0.0067,0.0073
1-pentanol,0.1377,,,0.029,12.0403,0,1.4361,0,1.1154,0.0707,0.1337,0.0691,0.0889,1.5491,0,0,0,0,0,0.1885,0.1792,0.1233,0.0725,0.1092,0.0199,0.0818,0.0916,0.1576,0.1183,0.1192,0,0.9378,0.0127,0,0,0,0.1873,0.1093,0,0,0,0,0.1053,0,0,0,0,0.3409,0.4156,0,0,0,0,0.0323,0,0,0,0,0.0327,0.2656,0,0.0748,0.1352,0.3364,0.3505,0.308,0.0808,0.0418,0,0.2155,0.1445,0.1619,0.124,0.0299,0.1181,0.1469,0.0932,0.1371,0.2212,0.3839,0.3083,0.022,0.1069,0.0878,0,0.0853,0.0668,0.2547,0.2065,0.1981,0.1076,0.1851,0.1895,0.1814,0.2173,0.252,0.1198,0.0793,0.0963,0.0768,0.0766,0.1458,0.1357,0.1801,0.3515,0.3342,0.2664,0.251,0.2223,0.2731,0.1081,0.108,0.1957,0.2166,0.1979,0.0432,0.3041,0.0359
hexanal,0.0071,0.0061,0.006,0.01,0.0042,0.0027,0.0087,0,0.0058,0.01,0.0046,0.0033,0,0.0037,0.0107,0,0.0047,0.007,0.0076,0.0072,0.0074,0.0062,0.0072,0.0033,0.0079,0.0046,0.0043,0.0078,0.0034,0.0044,0,0.0085,0.0064,0,0,0.0114,0.007,0.0124,0.0054,0.0064,0.0052,0.0022,0.005,0,0.0066,0.0106,0.0061,0.0094,0.0153,0,0.0098,0.0065,0.0097,0.0054,0.005,0.0036,0,0.0098,0,0.015,0,0,0,0.0092,0.0153,0.0147,0.0085,0.0068,0.0018,0,0,0.0075,0.0149,0.0222,0.0166,0.0126,0.0038,0.0072,0.0092,0.0104,0.0123,0.0049,0.0016,0.0052,0.0071,0.0076,0.0033,0.0142,0.0222,0.0089,0.0031,0.0068,0.01,0.0047,0.01,0.0081,0.0035,0.0034,0,0,0,0.0061,0.0027,0.0096,0.0112,0.0127,0.0124,0.0162,0.0104,0.0045,0.0044,0.008,0.0084,0.0086,0.0138,0.0182,0.024,0.0089
furfural,1.8659,0.2602,0.8574,0.0478,0.5021,0.093,1.4808,0.1027,2.0447,0.1674,0.0451,0.0449,0.5701,1.2495,0.1585,0.0922,0.0891,0.5793,0.0692,0,0.3605,0.3541,0.3056,0.0232,0.1195,0.2099,0.0624,0.2485,0.038,0.0063,0.0473,0.9686,0.4242,0.0099,0.0089,0.1566,0,0.015,0.0813,0.0441,0.1412,0.0208,0.0818,0,0.0354,0.0774,0.019,0.2018,0.2252,0.0308,0.0937,0.0954,0,0.095,0.1778,0.2332,0.2679,0,0,0.4632,0.2379,0,0,0.1128,0.0178,0.0484,0,0.1735,0,0.0447,0,0.2613,0,0.0687,0.0981,0.1318,0.157,0.0636,0.1418,0.1526,0.0233,0.0636,0,0.0042,0.0594,0.0292,0.065,0.1629,0.0464,0.0245,0.012,0.1759,0.1248,0.0077,0.0826,0.2597,0,0.0294,0.047,0.1182,0.0878,0.0417,0.0938,0.0619,0.0299,0,0.0903,0.1111,0.0427,0.1711,0,0,0,0.105,0,0,0.007,0.0951
1-hexanol,0.3315,0.2889,0.2828,0.9449,0.15,0.5197,0.5131,0.3309,0.2821,1.0125,0.4365,0.2761,0.3798,0.5423,0.2725,0.1779,0.1801,0.2111,0.8328,0.6563,0.8391,0.6263,0.6776,0.5005,0.8576,0.4882,0.4271,0.7227,0.4638,0.4043,0.3022,0.3182,0.3024,0,0,0,0.7561,0.6774,0,0.0622,0.2204,0.4082,0.189,0.1684,0.2325,0,0,0.2111,0,0.1199,0,0,0,0.0612,0,0,0,0.3974,0.3932,0,0,0.1724,0.5453,1.332,1.4055,1.3621,1.2074,0.5087,0.5694,0.5572,0.3695,0.5877,0.6263,0.3843,0.5806,1.1206,0.6671,0.4487,0.9188,1.3348,1.2339,0,0.4533,0.5526,0.572,0.5073,0.516,0.833,0.7226,0.8572,0.6147,0.7751,0.8279,0.6831,0.9108,1.0474,0.4926,0.4747,0.542,0.5888,0.6255,0.6063,0.6407,0.6982,1.1941,1.0874,1.2078,0.9712,1.0391,0.5741,0.5499,0.6186,0.8734,0.9298,1.0676,0.5041,0.5258,0.5507
ethylbenzene,0.0008,0.0007,0.0008,0.0002,0.086,0.1908,0.0018,0.0014,0.0016,0.0003,0.0011,0.0009,0.108,0.0583,0.1578,0.001,0.0009,0.001,0.0002,0.0013,0.0016,0.0018,0.0018,0.0016,0.0002,0.1054,0.12,0.0013,0.0011,0.001,0.001,0.0012,0.0012,0.0012,0.0012,0,0.2634,0.2396,0.145,0.0001,0.1948,0.1845,0.2397,0.2071,0.2205,0.0009,0.001,0.001,0.0013,0,0.0012,0.001,0.0011,0,0.0011,0.0011,0.0012,0.0014,0.0014,0.0012,0.0009,0.0016,0.0018,0.0014,0.0021,0.0019,0.0002,0.0013,0.0012,0.1851,0.182,0.1277,0.0013,0.0013,0.0014,0.0002,0.0012,0.0014,0.0021,0.0016,0.0019,0,0.1437,0.181,0.0012,0.001,0.0009,0.0015,0.0015,0.0015,0.0014,0.0017,0.222,0.2362,0.2308,0.0002,0.1932,0.1797,0.0014,0.0014,0.0014,0.0015,0.0013,0.0014,0.0016,0.0017,0.0018,0.0018,0.0016,0.1441,0.1918,0.2054,0.0014,0.0016,0.0015,0.1838,0.1739,0.1694
"1,3-dimethyl-benzene",0.0023,0.0022,0.0025,0.0008,0.6451,0.6058,0.0052,0.0045,0.005,0.0009,0.0033,0.0029,0.371,0.1875,0.4912,0.0031,0.0027,0.0033,0.0009,0.004,0.0049,0.0057,0.0054,0.0053,0.0006,0.3288,0.3853,0.0038,0.0036,0.0028,0.0033,0.0037,0.0039,0.0022,0.0024,0.0002,0.8491,0.82,0.3368,0.0002,0.4783,0.5326,0.5888,0.5961,0.6854,0.0018,0.0018,0.003,0.0022,0.0003,0.0024,0.0021,0.0022,0.0003,0.002,0.002,0.0021,0.0039,0.0039,0.0021,0.0017,0.0043,0.005,0.0047,0.0063,0.0063,0.001,0.004,0.004,0.5682,0.5753,0.4024,0.0042,0.0043,0.0044,0.0008,0.004,0.0046,0.0062,0.0055,0.0063,0.0002,0.514,0.6266,0.0033,0.0035,0.0032,0.0044,0.0044,0.0047,0.0043,0.0055,0.7791,0.8683,0.8262,0.0009,0.6701,0.6115,0.0042,0.0044,0.0042,0.0045,0.0042,0.0042,0.0052,0.0053,0.0062,0.0061,0.0056,0.4509,0.6309,0.7004,0.0047,0.0046,0.0045,0.6597,0.5968,0.6267
2- & 3-methyl-1-butanol acetate,0,0,0,0.0656,0.0535,0.0582,0.1113,0.0531,0.1379,0.0552,0.0509,0.0497,0.0604,0.0868,0.0573,0.0539,0.0537,0.055,0.3828,0.2988,0.3105,0.1348,0.1252,0.1359,0.0605,0.0595,0.0592,0.3707,0.3577,0.3915,0.0608,0.1094,0.0532,0.4492,0.4346,0.6117,0.1596,0.1417,0.1354,0.1742,0.0777,0.0905,0.283,0.3039,0.2918,0.0827,0.0812,0.0909,0.4087,0.9087,0.3318,0.3149,0.2896,0.4924,0.3819,0.4241,1.3244,1.1138,1.1511,0.4321,0.4152,1.4715,1.4211,0.3635,0.3592,0.3673,0.6461,0.6086,0.6117,0.7382,0.7346,0.7379,0.8872,0.8556,0.8889,1.6348,1.6093,1.6171,0.3465,0.3428,0.3469,0.5788,0.2888,0.2842,0.9714,1.5769,1.5416,1.0243,1.0474,1.0313,1.6309,1.6202,0.154,0.1667,0.1674,0.6063,0.2706,0.2547,1.4604,1.4751,1.4955,0.9341,0.9711,0.9786,1.5497,1.5458,0.2465,0.2441,0.2442,0.2159,0.2327,0.2359,1.1743,1.1624,1.1595,0.394,0.4189,0.3933
o-xylene,0.0003,0.0003,0.0003,0.0004,0.1128,0.0876,0.0006,0.0006,0.0004,0.0004,0.0003,0.0003,0.0319,0.0139,0.0414,0.0003,0.0003,0.0003,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0003,0.0291,0.0306,0.0003,0.0003,0.0002,0.0003,0.0003,0.0003,0.0013,0.0012,0.0002,0.0786,0.0705,0.1657,0.0001,0.0765,0.0682,0.08,0.0777,0.0792,0.0011,0.0011,0.0003,0.0014,0.0001,0.0014,0.0009,0.0012,0.0002,0.0012,0.0012,0.0013,0.0006,0.0006,0.0013,0.0008,0.0008,0.0008,0.0004,0.0005,0.0005,0.0004,0.0005,0.0004,0.0559,0.0663,0.0446,0.0003,0.0003,0.0003,0.0004,0.0004,0.0005,0.0007,0.0004,0.0005,0.0001,0.0373,0.0468,0.0005,0.0003,0.0003,0.0004,0.0005,0.0004,0.0005,0.0005,0.0431,0.0603,0.0509,0.0004,0.0464,0.039,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0005,0.0006,0.0005,0.0005,0.0005,0.037,0.0567,0.0618,0.0004,0.0004,0.0004,0.0419,0.0455,0.0413
benzaldehyde,0.0027,0.0028,0.0027,0,0,0,0,0,0,0.0016,0.0019,0.0014,0,0,0,0.0025,0.0019,0.0021,0.001,0,0,0,0,0,0,0,0,0,0,0.0012,0.0011,0.0009,0.0002,0.0019,0.0026,0.003,0.0806,0.1873,0.4096,0.0029,0,0,0,0,0,0.0022,0.0024,0,0.0018,0.0021,0.0021,0.0023,0.0004,0.0023,0.0023,0.0028,0.0019,0,0.0005,0.0002,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-heptanol,0,,0,0,0,0,0,0,0,0,0,0,0.003,0.0039,0.002,0,0,0,0.0064,0.0043,0.0044,0,0,0,0.0028,0.0052,0.0031,0.0039,0.0052,0.0061,0.0017,0.0055,0.0032,0.0086,0.0068,0.0106,0.0046,0.0054,0.0052,0.0062,0.0024,0,0.0028,0.0018,0.0039,0.0053,0.0029,0.0056,0.0056,0.0045,0.007,0.0098,0.0053,0.0035,0,0,0.0056,0.0019,0.0041,0,0.0026,0.0111,0.011,0.0082,0.0085,0.0088,0.004,0.005,0.0018,0.0049,0.0027,0.0058,0.0024,0.0075,0.0043,0.0087,0.006,0.0135,0.0087,0.0086,0.0064,0.0019,0.0028,0.0036,0,0.0037,0.0019,0.0053,0.0042,0.0037,0.0074,0.0122,0.0069,0.0059,0.0085,0.0036,0.0026,0.0037,0.0047,0.0043,0.0043,0.0061,0.0047,0.0065,0.0064,0.0061,0.0039,0.0057,0.0062,0.0048,0.0029,0.0019,0,0,0.0015,0.007,0.01,0.009
C6,0,0,0,0.0016,0.0055,0.0061,0.0122,0.0121,0.0221,0,0,0,0.0004,0.0004,0.0005,0,0,0,0.0761,0.072,0.0881,0.1106,0.123,0.0935,0.0068,0.0036,0.0082,0.1929,0.1258,0.1714,0.0143,0.0009,0.0004,0.1472,0.1456,0.1515,0.1659,0.1511,0.1389,0.0654,0.0577,0.0753,0.2203,0.2215,0.3365,0.0305,0.0327,0.027,0.1359,0.2358,0.1542,0.1464,0.1316,0.1268,0.1176,0.1281,0.2893,0.2534,0.2586,0.1206,0.1278,0.5755,0.504,0.1681,0.1624,0.1689,0.1237,0.136,0.1393,0.3178,0.3241,0.353,0.307,0.4124,0.3751,0.527,0.5553,0.5967,0.1509,0.1392,0.1486,0.0959,0.1066,0.1049,0.1237,0.2318,0.1945,0.4144,0.4136,0.4194,0.539,0.5313,0.12,0.1393,0.129,0.1089,0.1006,0.097,0.2106,0.2071,0.2073,0.4557,0.4601,0.4642,0.3998,0.4,0.1093,0.1072,0.1144,0.0804,0.0841,0.0843,0.172,0.165,0.1712,0.4703,0.4863,0.4933
2-ethyl-1-hexanol Results,0.0006,,,0.0004,0,0,0.0016,0,0.0001,0.0016,0,0,0,0.0014,0.001,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0002,0.0045,0.0042,0.0073,0.0028,0.0036,0.0085,0.0129,0,0.0005,0.0015,0.002,0.0008,0.0041,0.0048,0,0.0068,0.0053,0.0043,0.0058,0.0008,0.0093,0.006,0.0049,0.0119,0.003,0.002,0.0028,0.0029,0,0.0006,0.0008,0.001,0.0011,0.0025,0.0005,0,0,0,0,0,0,0,0.0024,0.0016,0,0.001,0.001,0.0007,0.0015,0,0,0.001,0,0,0,0,0,0.0017,0.0011,0.0002,0,0.0018,0.0017,0,0,0,0.0009,0,0,0,0,0,0,0.0008,0.0008,0.0009,0.0007,0,0,0,0,0,0,0,0
