Compound,po2,po2,po2,bel,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,pil,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil,bel,bel,cal,cal,cal,eng,eng,eng,sak,sak,sak,pil,pil,pil
d-limonene,0.0042,0.0039,0.0036,0.0047,0.0044,0.0059,0.0066,0.0082,0.0087,0.0067,0.0039,0.003,0.0107,0.009,0.0055,0.0043,0.0032,0.0041,0.0014,0.001,0.0013,0.002,0.0022,0.0016,0.0016,0.0022,0.0015,0.0018,0.002,0.0014,0.0048,0.0059,0.0054,0.0103,0.0105,0.0217,0.0015,0.0013,0.0099,0.0155,0.0014,0.002,0.0016,0.0014,0.0014,0.0168,0.0158,0.005,0.0147,0.0128,0.0123,0.0137,0.0039,0.0109,0.0126,0.015,0.0133,0.0019,0.0012,0.0041,0.0021,0.0018,0.0021,0.0019,0.0007,0.0008,0,0.0012,0.0003,0.0021,0.0017,0.0018,0.0003,0.001,0.0004,0.0004,0,0.0013,0.0016,0.0008,0.0011,0,0.0004,0,0.0004,0.0011,0,0.001,0.0008,0.0006,0.002,0.0032,0.0001,0.0001,0.0004,0,0,0.0004,0.0012,0.0012,0.0011,0.0006,0.001,0.0004,0.0004,0.0008,0,0.0001,0,0.0004,0,0,0,0,0,0,0,0
benzeneacetaldehyde,2.2519,0.4673,0.76,0.1523,219.7404,112.3816,2.5986,0.3404,3.6663,0.0683,0.1758,0.0784,37.4246,87.1306,25.3001,0.3027,0.2745,1.4424,2.6548,0.7012,1.9126,0.8878,1.3546,1.912,0.0312,8.6519,21.9454,1.5827,2.9662,3.7195,0.1893,1.9545,0.8185,1.2095,1.3705,0.9951,13.1086,24.198,47.5484,0.5016,131.4407,77.2692,125.7769,99.7778,99.3553,0.1608,0.1333,0.3258,0.5792,0.1485,0.1838,0.3692,0.0341,0.1493,0.1242,0.1514,0.1602,0.0844,0.1211,0.6151,0.3525,0.9426,0.1439,0.6967,0.1698,0.5359,0.115,0.743,0.1528,24.2977,13.0865,54.7456,0.1251,0.6714,0.2421,0.049,0.0533,0.5072,0.8878,0.1906,0.1376,0.0099,8.5318,22.3562,0,0.0072,0,0.7786,0.4432,0.1411,0.0254,2.4587,56.0843,20.0495,33.4678,0.032,5.7885,41.316,0.0485,0.2148,0.3949,0.4943,0.5326,0.4165,0.2812,0.1238,0.0518,1.0347,0.33,114.769,3.7469,0,0.075,0.2793,0.0944,7.1619,30.1443,62.1929
(E)-2-octenal,0.0043,0.0008,0.0016,0.0006,0.0033,0,0.0055,0.0007,0.0023,0.0004,0,0,0.0033,0.0006,0,0,0,0.0011,0.0018,0.0006,0.0026,0.0059,0.0081,0.0026,0.0016,0.0006,0,0.0071,0.0031,0.0042,0.0008,0.0063,0.0009,0.0036,0.0027,0.0053,0.002,0.003,0.0015,0.0004,0.0021,0.0017,0.0037,0.0035,0.0081,0.0024,0,0.0014,0.0043,0.0014,0.0018,0.0026,0.0005,0.0034,0,0,0.0082,0.0057,0.0058,0.0029,0.0041,0.0042,0.0058,0.0064,0.0067,0.0074,0.0059,0.0038,0.0032,0.007,0.0007,0.0103,0.0068,0.011,0.0095,0.0099,0.0051,0.0029,0.0074,0.0073,0.0064,0.0032,0.0016,0.0027,0.0031,0.0059,0.0049,0.012,0.0107,0.0101,0.0007,0.007,0.0049,0.0051,0.0055,0.0013,0.0013,0.0016,0.0062,0.0078,0.0083,0.0115,0.0128,0.0127,0.0047,0.0058,0.0064,0.0051,0.0056,0.0031,0.0021,0.0015,0.0038,0.0047,0.0042,0.0022,0.0121,0.0142
C7,0,0,0,0.0004,0.0019,0.0019,0.0049,0.0043,0.0081,0,0,0,0,0,0,0,0,0,0.0024,0.0028,0.0042,0.011,0.014,0.0103,0.0006,0.0017,0.0017,0.0155,0.011,0.0124,0,0,0,0.0036,0.0041,0.0034,0.0051,0.0056,0.006,0.0049,0.0057,0.0069,0.0111,0.0121,0.0157,0.0046,0.0049,0.006,0.0111,0.0022,0.0065,0.0058,0.0043,0.0044,0.004,0.004,0.0177,0.0141,0.0145,0.0095,0.0096,0.0082,0.0047,0.0072,0.007,0.0073,0.0033,0.0049,0.0049,0.0161,0.0142,0.0178,0.0168,0.0216,0.0192,0.0038,0.004,0.0067,0.0067,0.0064,0.0063,0.0019,0.0028,0.003,0.007,0.0136,0.0107,0.0201,0.0196,0.0198,0.0046,0.0055,0.0065,0.0069,0.0069,0.0023,0.0029,0.0033,0.013,0.0135,0.0135,0.0212,0.0204,0.0214,0.0036,0.0033,0.0057,0.0065,0.0066,0.0034,0.003,0.0026,0.0102,0.0101,0.0104,0.0193,0.0201,0.0208
nonanal,0.0067,0.0089,0.0064,0.0112,0.0034,0.0034,0.0139,0.0157,0.0065,0.0129,0.0052,0.0048,0.007,0,0.0038,0.0061,0.0063,0.0084,0.0176,0.0043,0.001,0.0038,0.0016,0.0029,0.0065,0.006,0.0039,0.0037,0.0029,0.0023,0.0022,0.0021,0.0035,0.0161,0.0009,0.052,0.0084,0.0094,0.02,0.0341,0.0016,0.0069,0.0104,0.0012,0.0015,0.0129,0.0138,0.0031,0.0186,0.0262,0.0177,0.0174,0.0089,0.0427,0.022,0.0186,0.0388,0.0191,0.0171,0.008,0.0091,0.0065,0.0052,0.0108,0.0052,0.0059,0.0143,0.0069,0.0024,0.0026,0.001,0.0069,0.0038,0.0064,0.0053,0.0261,0.0017,0.0088,0.0079,0.0095,0.0071,0.0038,0.0005,0.0031,0.0009,0.0097,0.0088,0.0043,0.0047,0.0036,0.0075,0.0038,0.0052,0.0057,0.0064,0.0124,0.003,0.0032,0.0149,0.0034,0.0045,0.0058,0.0037,0.0066,0.0116,0.0097,0.0099,0.0098,0.0064,0.0037,0.0026,0.0022,0.0087,0.0077,0.0092,0.0059,0.001,0.0144
phenylethyl alcohol,0,0,0,1.0352,1.2305,1.5407,0.3808,0.4322,0.195,0.088,0.1383,0.1055,0.2208,0.119,0.0162,0,0,0.043,7.2379,6.1359,6.7436,1.3101,1.5286,1.5118,0.0966,0.1227,0.0542,3.6092,2.8129,2.9887,0.1294,0.1539,0.1568,11.2577,15.8997,16.6798,9.8708,6.3072,12.1557,0.8009,0.6245,0.5614,6.155,6.3553,3.9483,0.7722,0.7234,0.9351,6.571,17.7782,11.5951,16.9423,18.9283,3.9434,3.4079,3.7166,9.301,6.2309,10.4993,5.9475,6.5233,16.7198,12.3495,33.2257,10.1686,9.2799,2.8143,4.0318,2.8309,8.4828,7.1512,6.2979,6.8326,5.9724,6.9871,15.3295,15.4411,15.0309,15.8745,23.7332,12.0901,3.6544,1.8454,2.2718,7.0393,7.0198,7.6159,11.2156,8.9152,8.0248,19.9155,24.1395,11.5096,7.7613,9.3822,3.7457,2.0931,1.9496,6.4586,5.7423,6.7959,8.9,11.0377,10.1634,14.7743,18.5772,14.4508,14.8297,15.5273,3.6581,2.8968,2.296,5.8683,5.7415,8.4333,5.4288,6.8349,9.6505
1-nonanol,0,,,0,0.6722,0.3056,0.0039,0.0016,0.006,0.0022,0.0019,0.0018,0.0763,0.0255,0.3485,0.001,0.0011,0.0026,0.0008,0,0.0019,0.001,0.0008,0,0.0009,0.3589,0.3257,0.0005,0,0,0.0023,0.0052,0.0046,0,0.0011,0.0017,0.0391,0.1175,0.1337,0.0003,0.1217,0,0.1019,0,0.0914,0.0011,0.0011,0.0026,0.0008,0,0.0007,0.0005,0.0002,0.0006,0,0,0.0013,0.0009,0.0014,0.0005,0.0008,0.004,0.0034,0.0011,0.0011,0.0012,0.0004,0.001,0.0004,0,0.0842,0.352,0,0.0011,0.0007,0,0.0009,0.0042,0.0016,0.0011,0.0014,0.0005,0.0259,0.1835,0.0005,0.0013,0.0013,0.0001,0.0008,0.001,0.0015,0,0.2569,0.2959,0.3693,0.0008,0,0.1953,0.002,0.0021,0.0022,0.0015,0.002,0.0018,0.0033,0.0019,0.0019,0.001,0.001,0.2718,0.1389,0.1399,0.0011,0.0015,0.0013,0.3742,0.3064,0.4101
C8,0,0,0,0.0309,0.0791,0.0672,0.0733,0.0749,0.1314,0.0005,0.0008,0.0005,0.0008,0.0009,0.0028,0.0062,0.0061,0.0065,0.7005,0.7946,0.9653,1.1497,1.3712,1.3052,0.0904,0.0114,0.1294,1.8821,1.6076,2.0334,0.1656,0.005,0.0032,1.3399,1.3317,0.9029,1.3276,1.3157,1.2349,0.3066,0.7677,0.8021,2.4319,2.272,2.5377,0.15,0.1599,0.2954,1.7352,0.4676,1.2949,1.2483,1.2226,0.2708,0.449,0.4889,2.6298,2.1384,2.0074,1.7596,1.783,2.5687,0.9587,1.503,1.4379,1.573,0.5365,0.9071,0.8415,2.593,2.8304,2.8241,2.4043,3.2549,2.7124,0.6852,0.8659,1.9568,1.5424,1.3342,1.4015,0.2348,0.6894,0.6932,1.652,2.1346,1.9195,2.4869,2.5385,2.4734,0.8769,0.9536,1.5221,1.7913,1.5345,0.2591,0.7483,0.7445,2.0796,2.0871,2.1169,2.5128,2.5485,2.5239,1.0222,1.043,1.4991,1.5264,1.5176,0.8619,0.8589,0.8645,2.1447,2.1174,1.9606,2.557,2.5338,2.4383
2-phenylethyl ester acetic acid,0,0,0,0.0158,0.0176,0.0152,0.0331,0.0222,0.029,0.0147,0.0158,0.0146,0.0125,0.032,0.0146,0.0122,0.0123,0.0112,0.1474,0.1411,0.1498,0.0135,0.0231,0.025,0.0083,0.0088,0.0159,0.1171,0.1184,0.1251,0.0184,0.0122,0.0076,0.2578,0.2498,0.2757,0.0854,0.0878,0.0801,0.0148,0.0123,0.0196,0.1929,0.2109,0.2107,0.0149,0.0135,0.0095,0.1084,0.2412,0.0782,0.0779,0.0794,0.0563,0.0568,0.0592,0.3045,0.2914,0.2928,0.1083,0.1052,0.4475,0.4259,0.0771,0.0757,0.0772,0.0571,0.0614,0.0651,0.3302,0.328,0.34,0.2069,0.2014,0.203,0.3755,0.4099,0.439,0.0793,0.0693,0.0716,0.0412,0.0594,0.057,0.2631,0.3204,0.3029,0.2299,0.2296,0.2219,0.3588,0.3496,0.0595,0.0683,0.0606,0.0537,0.0532,0.0504,0.3101,0.3132,0.3122,0.1957,0.1934,0.1952,0.3264,0.3228,0.0517,0.051,0.0514,0.0465,0.0391,0.0431,0.2629,0.2593,0.2534,0.1668,0.1624,0.1666
2-undecanone,0.0215,0.016,0.0171,0.0166,0.0223,0.0172,0.0371,0.0256,0.0374,0.0268,0.0197,0.0179,0.0371,0.0406,0.0242,0.0142,0.0155,0.023,0.0058,0.0055,0.0091,0.008,0.0083,0.0051,0.0073,0.0141,0.0111,0.0106,0.0102,0.0089,0.0195,0.0288,0.0258,0.0028,0.004,0.0022,0.0035,0.0044,0.0027,0.0016,0.0021,0.0014,0.004,0.0047,0.0049,0.0086,0.0071,0.0173,0.0029,0.0013,0.0039,0.0035,0.0039,0.0018,0.0015,0,0.0036,0.0063,0.0053,0.0038,0.0039,0.0063,0.006,0.0042,0.0039,0.0047,0.0017,0.0017,0.0022,0.0052,0.0042,0.006,0.0029,0.004,0.0032,0.0025,0.0025,0.0057,0.0046,0.0036,0.0036,0.0031,0.0006,0.0015,0.0045,0.0065,0.0045,0.0031,0.0032,0.0028,0.0039,0.0085,0.004,0.0041,0.004,0.0018,0.0011,0.001,0.0059,0.007,0.006,0.0035,0.003,0.004,0.0031,0.0021,0.0039,0.0051,0.0043,0.002,0.001,0.0009,0.0063,0.0058,0.0058,0.003,0.0032,0.0042
C9,,,,0.0006,0.0014,0.0012,0.0035,0.0032,0.0049,0,0,0,0,0,0,0,0,0,0.0024,0.0039,0.0033,0.0044,0.0059,0.0056,0.0005,0.0012,0.0015,0.0081,0.0069,0.0078,0,0,0,0.0029,0.0031,0.0022,0.0028,0.003,0.0027,0.0012,0.0022,0.0022,0.0077,0.0077,0.0084,0.0019,0.0019,0.0031,0.0059,0.0007,0.0043,0.0042,0.0044,0.0007,0.001,0.001,0.0104,0.0096,0.0088,0.006,0.006,0.0072,0.0023,0.0065,0.0066,0.0066,0.0017,0.0032,0.003,0.0112,0.0106,0.0115,0.0083,0.0109,0.0089,0.001,0.0014,0.0055,0.0068,0.006,0.0064,0.0008,0.002,0.002,0.0082,0.0116,0.0099,0.0082,0.0081,0.0083,0.0017,0.0024,0.0075,0.0086,0.0076,0.0007,0.0023,0.0025,0.0119,0.0121,0.012,0.0087,0.009,0.0091,0.0019,0.0017,0.0076,0.0081,0.0078,0.0033,0.0029,0.0028,0.0107,0.0105,0.0105,0.0091,0.0094,0.009
2-undecanol,0,0,0,0,0.0008,0.0002,0.0008,0.0003,0.0009,0.0001,0.0001,0,0.0004,0.0011,0.0002,0.0001,0.0001,0.0003,0.0004,0.0003,0.0005,0.0008,0.0008,0.0006,0.0001,0.0004,0.0002,0.0004,0.0004,0.0005,0.0002,0.0006,0.0003,0.0003,0.0005,0.0003,0.0004,0.0007,0.0005,0.0003,0.0003,0.0003,0.0003,0.0003,0.0009,0.0005,0.0005,0.0005,0.0008,0.0003,0.0017,0.0008,0.0013,0.0005,0.0003,0.0003,0.0002,0.0004,0.0003,0.0018,0.0017,0.0004,0.0009,0.0005,0.0006,0.0012,0.0003,0.0007,0.0014,0.001,0.001,0.0011,0.0005,0.001,0.0015,0.0004,0.0004,0.0009,0.0017,0.0014,0.0008,0.0005,0.0011,0.0009,0.0007,0.0009,0.0009,0.0006,0.0007,0.0012,0.0008,0.0011,0.002,0.0014,0.0014,0.0006,0.0006,0.0008,0.0011,0.0012,0.0014,0.0007,0.0003,0.0004,0.0012,0.0014,0.0014,0.0018,0.0009,0.0013,0.0013,0.0005,0.0008,0.0014,0.0006,0.0008,0.001,0.0005
undecanal,0.008,0.0042,0.0058,0.0079,0.0087,0.0083,0.0214,0.009,0.0263,0.0097,0.0064,0.0048,0.0108,0.0165,0.0067,0.0054,0.0039,0.0095,0.0052,0.0075,0.0158,0.0205,0.0293,0.0351,0.0035,0.0039,0.0219,0.0166,0.0158,0.0142,0.0065,0.0145,0.0103,0.0038,0.0053,0.0018,0.0038,0.0025,0.002,0.0055,0.0067,0.0045,0.0174,0.0161,0.0116,0.0022,0.002,0.0097,0.0034,0.0317,0.0155,0.0175,0.0134,0.0022,0.0313,0.0288,0.0052,0.0084,0.0071,0.0034,0.0032,0.0145,0.009,0.0076,0.0073,0.0103,0.0053,0.0073,0.0027,0.0151,0.0125,0.0192,0.0038,0.0251,0.0108,0.0054,0.053,0.0056,0.0073,0.0082,0.0101,0.002,0.0104,0.0099,0.0047,0.0133,0.0079,0.0059,0.0046,0.0052,0.0088,0.0114,0.013,0.0051,0.0125,0.0032,0.0051,0.0067,0.0107,0.011,0.0113,0.008,0.0075,0.0084,0.0044,0.0666,0.0072,0.0095,0.0082,0.04,0.0369,0.0383,0.0092,0.0091,0.0096,0.0026,0.0044,0.0064
methyl geranate,0.0055,0.005,0.0057,0.0084,0.0105,0.0104,0.0154,0.0098,0.0175,0.0093,0.0062,0.0053,0.0107,0.0146,0.0071,0.005,0.0055,0.0073,0.0254,0.0332,0.0506,0.0222,0.036,0.0493,0.0028,0.0052,0.0039,0.0291,0.0358,0.0244,0.007,0.0103,0.009,0.0429,0.064,0.0242,0.0074,0.0075,0.0055,0.0053,0.0004,0.0075,0.0639,0.0559,0.046,0.004,0.0034,0.0094,0.0053,0.0038,0.0051,0.0057,0.0055,0.003,0.0022,0.0021,0.0253,0.0312,0.0239,0.0055,0.0055,0.0744,0.012,0.0092,0.0084,0.0096,0.0062,0.0086,0.0005,0.0222,0.0201,0.0263,0.0065,0.0335,0.0126,0.0061,0.0059,0.0422,0.009,0.0104,0.0107,0.0023,0.0025,0.003,0.0076,0.0158,0.0103,0.0079,0.0076,0.007,0.0103,0.0128,0.0161,0.0101,0.016,0.0038,0.0025,0.0034,0.0137,0.0146,0.0136,0.0095,0.0089,0.0095,0.0072,0.0064,0.0088,0.0132,0.0119,0.0033,0.0021,0.0018,0.0129,0.0127,0.0124,0.0005,0.0007,0.0007
citronellol acetate,,,,0,0,0,0,0,0.0377,0,0,0,0,0,0,0,0,0,3.8873,2.3268,3.0323,1.4512,1.5748,1.2877,0,0,0,9.9987,10.1893,10.9726,0,0,0,1.954,1.9377,2.4902,1.0399,1.1379,1.2807,1.3398,0.9486,0.7347,6.2881,6.306,6.0753,0,0,0.0868,1.4973,1.4228,0.8677,0.973,0.8816,2.3419,1.162,1.4496,9.5782,7.7183,7.1606,1.4916,1.56,5.5445,3.8038,0.8301,0.6908,0.7087,2.188,2.3009,2.0125,5.8833,4.9397,6.4208,1.4247,2.6671,1.7901,3.6139,2.7672,4.1788,0.6604,0.5368,0.5189,1.3811,1.0066,1.1296,2.6686,5.2651,4.3264,1.389,1.3089,1.264,2.761,3.2978,0.2309,0.2161,0.266,1.4802,0.7159,0.9563,3.5485,3.9811,4.0661,0.8445,0.8928,0.8503,1.2015,0.9898,0.0309,0.0339,0,0.5141,0.3736,0.2861,1.8996,1.9859,1.9124,0.3411,0.3358,0.3594
10-undecen-1-ol Results,0.0027,,,0,0.002,0.0021,0.0043,0.0039,0.0082,0.0003,0,0,0.0006,0.0031,0.0004,0,0,0.0006,0.0038,0.0022,0.0037,0.005,0.0053,0.009,0.0005,0.0015,0.0004,0.012,0.0125,0.0163,0.0002,0.0081,0.0004,0.0024,0.0026,0.0037,0.0028,0.0032,0.0029,0.0023,0.0051,0.0053,0.0172,0.0157,0.0194,0.0028,0.0023,0.0033,0.0085,0.0016,0.0025,0.0025,0.0023,0.0016,0.0008,0.0019,0.001,0.0087,0.0075,0.009,0.0085,0.0106,0.0002,0.0027,0.0024,0.0025,0.0017,0.0034,0.0018,0.0103,0.0105,0.0108,0.0083,0.0256,0.0121,0.0018,0.0012,0.0063,0.0029,0.0023,0.0024,0.002,0.0021,0.0018,0.0022,0.0069,0.0051,0.0083,0.0089,0.0087,0.0024,0.0002,0.0031,0.0038,0.0031,0.0008,0.0008,0.0009,0.0062,0.0051,0.0045,0.0097,0.0093,0.0097,0.0009,0.0008,0.0024,0.0028,0.0023,0.0004,0.0018,0.0006,0.0055,0.0051,0.0048,0.01,0.0103,0.0103
ethyl trans-4-decenoate,0,0,0,0.0002,0.0012,0.0009,0.0042,0.0038,0.0094,0,0,0,0,0,0,0.0009,0.0008,0.0012,0.0148,0.0166,0.0162,0.0204,0.0279,0.0261,0,0,0.0001,0.0574,0.0618,0.0781,0.0008,0,0,0.0148,0.0154,0.0142,0.0102,0.0104,0.0083,0.0104,0.0183,0.0195,0.0893,0.0977,0.0906,0,0,0.0008,0.0148,0.0051,0.0173,0.0165,0.0194,0.0023,0.0036,0.0045,0.0868,0.0753,0.0609,0.0143,0.0152,0.0786,0.0147,0.0259,0.0248,0.0269,0.0053,0.0103,0.0085,0.0159,0.0176,0.0185,0.0399,0.1252,0.0601,0.006,0.0087,0.0534,0.0307,0.0255,0.0292,0.0001,0.0013,0.0015,0.004,0.007,0.0052,0.0515,0.0548,0.0566,0.0038,0.0052,0.0321,0.0436,0.0323,0.0002,0.0011,0.0011,0.0065,0.0061,0.006,0.0388,0.0346,0.0345,0.0123,0.0127,0.0453,0.0447,0.0467,0.0582,0.0631,0.0643,0.014,0.0125,0.0121,0.0642,0.0632,0.0634
C10,0,0,0,0.0028,0.0129,0.0136,0.0249,0.0248,0.0599,0,0,0,0,0,0,0.0029,0.0028,0.0035,0.1127,0.1851,0.1839,0.2492,0.3245,0.4048,0.0143,0.0021,0.0252,0.4848,0.5901,0.594,0.0305,0.0036,0.0029,0.2458,0.2843,0.1362,0.143,0.1492,0.1182,0.0571,0.1435,0.1491,0.8774,0.7629,0.8824,0.0279,0.0286,0.0645,0.3221,0.051,0.1773,0.1727,0.165,0.0287,0.0547,0.0562,0.727,0.6018,0.5156,0.3308,0.3293,0.651,0.1471,0.2462,0.2472,0.257,0.0964,0.1805,0.1552,0.9703,1.1338,1.0696,0.4981,1.2453,0.6336,0.0609,0.1186,0.382,0.2781,0.25,0.2608,0.0334,0.1482,0.1478,0.6237,0.8204,0.6723,0.4111,0.4205,0.4255,0.1269,0.1391,0.4345,0.5018,0.4397,0.0478,0.2254,0.2209,0.8244,0.8058,0.813,0.4934,0.5008,0.5089,0.1047,0.1009,0.4516,0.4698,0.4558,0.1556,0.1506,0.1566,0.8608,0.8415,0.7616,0.4594,0.4724,0.4312
3-methylbutyl ester octanoic acid,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0.0065,0.0056,0.0063,0.0084,0.0048,0.0004,0,0.0006,0.0274,0.0161,0.0214,0,0,0,0.0045,0.0043,0.0017,0.0054,0.0063,0.0038,0.0008,0.0028,0.002,0.0228,0.0149,0.0256,0,0,0.0017,0.0133,0.0011,0.0057,0.0054,0.0053,0.0008,0.0014,0.0012,0.0232,0.0208,0.0169,0.0138,0.0132,0.0139,0.0061,0.01,0.0111,0.0111,0.0015,0.0038,0.0036,0.0341,0.0335,0.0371,0.0326,0.0446,0.0354,0.002,0.005,0.0104,0.0088,0.0081,0.0088,0.0006,0.0026,0.0027,0.0171,0.0254,0.0206,0.0285,0.0277,0.0291,0.0052,0.0058,0.009,0.0095,0.0094,0.0005,0.0026,0.0029,0.0266,0.027,0.0289,0.0242,0.0242,0.024,0.0069,0.0055,0.0102,0.01,0.0094,0.0034,0.0031,0.0029,0.0245,0.0267,0.0252,0.0256,0.0274,0.024
C12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0.0018,0.0018,0.0029,0.0246,0.0998,0.0527,0.0661,0.0845,0.0915,0.0012,0.0002,0.0009,0.2007,0.1474,0.1946,0.0067,0.0029,0.0022,0.0489,0.0454,0.0218,0.0229,0.0255,0.0194,0.0218,0.0339,0.0368,0.1026,0.0727,0.1024,0.0041,0.0042,0.0085,0.1071,0.0195,0.0101,0.0096,0.0105,0.0198,0.0341,0.0259,0.053,0.0492,0.0364,0.0826,0.0879,0.0646,0.0414,0.0082,0.0099,0.0086,0.0184,0.0324,0.0293,0.0727,0.0668,0.0689,0.1249,0.1877,0.1162,0.0172,0.0556,0.0472,0.0071,0.0073,0.008,0.0073,0.028,0.0252,0.0609,0.0661,0.055,0.088,0.0917,0.0951,0.0182,0.0164,0.0124,0.0132,0.0135,0.0047,0.0258,0.0236,0.1063,0.1032,0.1068,0.0298,0.0316,0.0317,0.0144,0.0106,0.0256,0.0273,0.0244,0.0103,0.0085,0.0094,0.1111,0.1275,0.1154,0.0207,0.0237,0.0211